timestamp|did|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|rights-owner|date-img|BLANK28
|NNN000717-002|||||||||||||||||||||||||||
|NNN000717-003|||||||||||||||||||||||||||
|NNN000717-004|||||||||||||||||||||||||||
"7/16/2021 18:34"|NNN000718|"DSC_0568.Trip2.JPG; DSC_0574.Trip2.JPG; DSC_0580.Trip2.JPG; DSC_0581.Trip2.JPG; DSC_0582.Trip2.JPG; DSC_0713.Trip2.JPG; DSC_0715.Trip2.JPG; DSC_0716.Trip2.JPG"|"Parker's Model T Casino wall mounted signs, Winnemucca, Nevada"|"<p>Views of the wall mounted signs surrounding Parker's Model T Casino during the day and at night.</p>"|"Durham, Will"|XXXX||"1130 Winnemucca Blvd, Winnemucca, NV 89445"|"40.965699, -117.743836"|||"lit, unlit"|"day, night"|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000718-001|||||||||||||||||||||||||||
|NNN000718-002|||||||||||||||||||||||||||
|NNN000718-003|||||||||||||||||||||||||||
|NNN000718-004|||||||||||||||||||||||||||
|NNN000718-005|||||||||||||||||||||||||||
|NNN000718-006|||||||||||||||||||||||||||
|NNN000718-007|||||||||||||||||||||||||||
|NNN000718-008|||||||||||||||||||||||||||
"7/16/2021 18:38"|NNN000719|DSC_0722.Trip2.JPG|"Pete's Gambling Hall wall mounted signs, Winnemucca, Nevada"|"<p>View of the wall mounted signs for Pete's Gambling Hall during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"1985 W Winnemucca Blvd, Winnemucca, NV 89445"|"40.9582889, -117.747457"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2020
"7/16/2021 18:43"|NNN000720|DSC_0991.Trip2.JPG|"Plaza Forty double mounted sign, Elko, Nevada"|"<p>View of the Plaza Forty sign in Elko during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"1910 Idaho St # 103, Elko, NV 89801"|"40.8446756, -115.7486252"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior||"no exact address, Gary owns the comic book shop and he's cool tho so here's his address: 1910 Idaho St # 103, Elko, NV 89801"|2018~/2020~
||"^^ record exists already ):"||||||||||||||||||||||||||
"7/16/2021 19:20"|NNN000721|"DSC_0349.Trip2.JPG; DSC_0350.Trip2.JPG; DSC_0351.Trip2.JPG"|"Pony Express Lodge double mounted sign, Sparks, Nevada"|"<p>View of the double mounted sign for the Pony Express Lodge during the day while unlit, including a view of the power box.</p>"|"Durham, Will"|XXXX||"2406 Prater Way, Sparks, NV 89431"|"39.5367197, -119.7754237"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000721-001|||||||||||||||||||||||||||
|NNN000721-002|||||||||||||||||||||||||||
|NNN000721-003|||||||||||||||||||||||||||
