timestamp,did,unr-file-name,unr-title,unr-desc,creator,date-inst,site-name,site-address,lat-lon,sign-manf,sign-owner,lit-unlit,time-day,subj-fast,print-pub,rights,format,dcmi,prov,proj-name,unr-cit,corr-guide,dig-pub,contrib,int-ext,rights-owner,date-img
,NNN000654-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000654-002,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021 8:56:39,NNN000655,DSC_0347.Trip2.JPG; DSC_0348.Trip2.JPG,"Coney Island Bar wall mounted signs, Sparks, Nevada","<p>View of wall mounted signs for Dos Amigos while lit. One of the signs reads ""Casino"" and the other reads ""Dos Amigos Restaurante.""</p><p>1985 W Winnemucca Blvd, Winnemucca, NV 89445</p></br>","Durham, Will",1946,,"<p>2644 Prater Way, Sparks, NV 89431</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000655-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000655-002,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021 9:37:37,NNN000656,DSC_0354.Trip2.JPG; DSC_0355.Trip2.JPG; DSC_0356.Trip2.JPG; DSC_0357.Trip2.JPG,"Copenhagen Bar wall mounted sign, Sparks, Nevada","<p>View of the sign for the El Ray Motel, including a view showing the building after demolition.</p><p>330 N Arlington Ave, Reno, NV 89501</p></br>","Durham, Will",1949,,"<p>2140 Prater Way, Sparks, NV 89431</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000656-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000656-002,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000656-003,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000656-004,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021 9:44:28,NNN000657,DSC_0757.Trip2.JPG; DSC_0758.Trip2.JPG,"Cozy Motel flag mounted sign, Winnemucca, Nevada","<p>View of the roof mounted sign for El Tavern in Reno, including detail shots of the regular sign and the vacancy sign.</p><p>1801 W 4th St, Reno, NV 89503</p></br>","Durham, Will",XXXX,,"<p>410 E Winnemucca Blvd, Winnemucca, NV 89445</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000657-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000657-002,,,,,,,,,,,,,,,,,,,,,,,,,,
